Variáveis;China;Brasil;Rússia;India;México;;Variáveis;China;Brasil;Russia;India;Mexico
Usuarios;2973;10717;70970;13401;10701;;PDI (Distância de Potência);81;69;77;80;93
Respostas;0,4736;0,4827;0,4558;0,3557;0,5176;;IDV (Individualismo);30;38;48;20;39
Perguntas;0,4541;0,4658;0,5814;0,3631;0,4858;;MAS (Masculinidade);69;49;56;66;36
Edição de Conteúdo;0,0639;0,0835;0,0947;0,0298;0,0833;;UAI (Incerteza);82;76;40;30;95
Comentários;0,183;0,2039;0,2023;0,1078;0,2405;;usuarios;2973;10717;70970;13401;10701
PDI;81;69;77;80;93;;responderam_prop;0,4736;0,4827;0,4558;0,3557;0,5176
IDV;30;38;48;20;39;;perguntaram_prop;0,4541;0,4658;0,5814;0,3631;0,4858
MAS;69;49;56;66;36;;editaram_prop;0,0639;0,0835;0,0947;0,0298;0,0833
UAI;82;76;40;30;95;;comentaram_prop;0,183;0,2039;0,2023;0,1078;0,2405
GNI;9600;11630;1530;5680;12700;;GNI (Produto Interno Bruto);9600;11630;1530;5680;12700
Acesso à Internet;35;45;10,1;38,3;49;;Internet (Acesso à Internet);35;45;10,1;38,3;49
Fluência em Inglês;49,83;49,96;53,54;50,15;50,44;;EPI (Fluência em Inglês);49,83;49,96;53,54;50,15;50,44
;;;;;;;;;;;;
;;;;;;;dados July 2008 to April 2014;;;;;
