country;PDI;IDV;MAS;UAI;usuarios;responderam_prop;perguntaram_prop;editaram_prop;comentaram_prop;GNI;Internet;EPI;;;;;;;;;;;;;
Russia;93;39;36;95;10701;0,517615176;0,485842445;0,083263246;0,240538267;12700;49;50,44;;;;;;;;;;;;;
Brazil;69;38;49;76;10717;0,482691052;0,465801997;0,083512177;0,203881683;11630;45;49,96;;;;;;;;;;;;;
Mexico;81;30;69;82;2973;0,473595695;0,454086781;0,06390851;0,182980155;9600;35;49,83;;;;;;;;;;;;;
China;80;20;66;30;13401;0,355719722;0,363107231;0,029773897;0,107827774;5680;38,3;50,15;;;;;;;;;;;;;
India;77;48;56;40;70970;0,455826406;0,581442863;0,094744258;0,202296745;1530;10,1;53,54;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;País;Usuários;Respostas;Perguntas;Edição de Conteúdo;Comentários;PDI;IDV;MAS;UAI;GNI;Acesso à Internet;Fluência em Inglês
;;;;;;;;;;;;;Rússia;10701;0,5176;0,4858;0,0833;0,2405;93;39;36;95;12700;49;50,44
;;;;;;;;;;;;;Brasil;10717;0,4827;0,4658;0,0835;0,2039;69;38;49;76;11630;45;49,96
;;;;;;;;;;;;;México;2973;0,4736;0,4541;0,0639;0,183;81;30;69;82;9600;35;49,83
;;;;;;;;;;;;;China;13401;0,3557;0,3631;0,0298;0,1078;80;20;66;30;5680;38,3;50,15
;;;;;;;;;;;;;Índia;70970;0,4558;0,5814;0,0947;0,2023;77;48;56;40;1530;10,1;53,54
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
scores;valores dos eixos;porcentagem da variação explicada pelo eixo;;;;;;;;;;;;;;;;;;;;;;;
PC;% variance;;;;;;;;;;;;;;;;;;;;;;;;
1;46,61;;;;;;;;;;;;;;;;;;;;;;;;
2;40,818;;;;;;;;;;;;;;;;;;;;;;;;
3;8,1739;;;;;;;;;;;;;;;;;;;;;;;;
4;4,3989;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
loadings;;;;;;;;;;;;;;;;;;;;;;;;;
;PC 1;PC 2;PC 3;PC 4;;;;;;;;;;;;;;;;;;;;;
MAS;-0,24717;-0,25695;-0,23785;0,72756;;;;;;;;;;;;;;;;;;;;;
UAI;0,1245;0,41394;-0,072884;0,36106;;;;;;;;;;;;;;;;;;;;;
PDI;0,02243;0,18176;0,90163;0,26823;;;;;;;;;;;;;;;;;;;;;
responderam_prop;0,30703;0,29504;-0,10122;0,26235;;;;;;;;;;;;;;;;;;;;;
perguntaram_prop;0,40985;-0,095176;-0,030525;0,16968;;;;;;;;;;;;;;;;;;;;;
comentaram_prop;0,35887;0,23803;0,0049954;0,063345;;;;;;;;;;;;;;;;;;;;;
editaram_prop;0,41042;0,065508;-0,19337;-0,018075;;;;;;;;;;;;;;;;;;;;;
GNI;-0,042433;0,44516;-0,13445;-0,054113;;;;;;;;;;;;;;;;;;;;;
EPI;0,28897;-0,31741;0,19323;-0,073132;;;;;;;;;;;;;;;;;;;;;
IDV;0,41919;-0,026639;-0,094665;-0,096427;;;;;;;;;;;;;;;;;;;;;
usuarios;0,26669;-0,3436;0,11048;-0,15041;;;;;;;;;;;;;;;;;;;;;
Internet;-0,17685;0,3935;0,00058771;-0,35523;;;;;;;;;;;;;;;;;;;;;
